+-------------------+-------+------+
| slp name          | depth | size |
+-------------------+-------+------+
| 25x25_0.4_000.slp |   4   | 141  |
| 25x25_0.4_001.slp |   4   | 128  |
| 25x25_0.4_002.slp |   4   | 131  |
| 25x25_0.4_003.slp |   4   | 130  |
| 25x25_0.4_004.slp |   4   | 131  |
| 25x25_0.4_005.slp |   4   | 134  |
| 25x25_0.4_006.slp |   4   | 131  |
| 25x25_0.4_007.slp |   4   | 138  |
| 25x25_0.4_008.slp |   4   | 127  |
| 25x25_0.4_009.slp |   4   | 127  |
| 25x25_0.4_010.slp |   4   | 142  |
| 25x25_0.4_011.slp |   4   | 128  |
| 25x25_0.4_012.slp |   4   | 136  |
| 25x25_0.4_013.slp |   4   | 120  |
| 25x25_0.4_014.slp |   4   | 138  |
| 25x25_0.4_015.slp |   4   | 123  |
| 25x25_0.4_016.slp |   4   | 141  |
| 25x25_0.4_017.slp |   4   | 128  |
| 25x25_0.4_018.slp |   5   | 130  |
| 25x25_0.4_019.slp |   4   | 135  |
| 25x25_0.4_020.slp |   4   | 132  |
| 25x25_0.4_021.slp |   4   | 132  |
| 25x25_0.4_022.slp |   5   | 140  |
| 25x25_0.4_023.slp |   4   | 144  |
| 25x25_0.4_024.slp |   4   | 135  |
| 25x25_0.4_025.slp |   4   | 136  |
| 25x25_0.4_026.slp |   4   | 132  |
| 25x25_0.4_027.slp |   4   | 134  |
| 25x25_0.4_028.slp |   4   | 135  |
| 25x25_0.4_029.slp |   4   | 138  |
| 25x25_0.4_030.slp |   4   | 136  |
| 25x25_0.4_031.slp |   4   | 119  |
| 25x25_0.4_032.slp |   4   | 134  |
| 25x25_0.4_033.slp |   4   | 137  |
| 25x25_0.4_034.slp |   4   | 134  |
| 25x25_0.4_035.slp |   4   | 138  |
| 25x25_0.4_036.slp |   4   | 134  |
| 25x25_0.4_037.slp |   4   | 139  |
| 25x25_0.4_038.slp |   5   | 133  |
| 25x25_0.4_039.slp |   5   | 133  |
| 25x25_0.4_040.slp |   4   | 130  |
| 25x25_0.4_041.slp |   4   | 132  |
| 25x25_0.4_042.slp |   4   | 134  |
| 25x25_0.4_043.slp |   4   | 131  |
| 25x25_0.4_044.slp |   4   | 134  |
| 25x25_0.4_045.slp |   4   | 126  |
| 25x25_0.4_046.slp |   5   | 141  |
| 25x25_0.4_047.slp |   4   | 125  |
| 25x25_0.4_048.slp |   5   | 139  |
| 25x25_0.4_049.slp |   4   | 132  |
| 25x25_0.4_050.slp |   4   | 128  |
| 25x25_0.4_051.slp |   4   | 135  |
| 25x25_0.4_052.slp |   4   | 139  |
| 25x25_0.4_053.slp |   5   | 122  |
| 25x25_0.4_054.slp |   4   | 131  |
| 25x25_0.4_055.slp |   4   | 133  |
| 25x25_0.4_056.slp |   4   | 135  |
| 25x25_0.4_057.slp |   4   | 121  |
| 25x25_0.4_058.slp |   4   | 126  |
| 25x25_0.4_059.slp |   4   | 126  |
| 25x25_0.4_060.slp |   4   | 134  |
| 25x25_0.4_061.slp |   4   | 135  |
| 25x25_0.4_062.slp |   4   | 131  |
| 25x25_0.4_063.slp |   4   | 129  |
| 25x25_0.4_064.slp |   4   | 132  |
| 25x25_0.4_065.slp |   4   | 135  |
| 25x25_0.4_066.slp |   4   | 130  |
| 25x25_0.4_067.slp |   4   | 132  |
| 25x25_0.4_068.slp |   4   | 129  |
| 25x25_0.4_069.slp |   4   | 135  |
| 25x25_0.4_070.slp |   4   | 141  |
| 25x25_0.4_071.slp |   4   | 139  |
| 25x25_0.4_072.slp |   4   | 128  |
| 25x25_0.4_073.slp |   4   | 134  |
| 25x25_0.4_074.slp |   4   | 126  |
| 25x25_0.4_075.slp |   4   | 120  |
| 25x25_0.4_076.slp |   4   | 136  |
| 25x25_0.4_077.slp |   4   | 137  |
| 25x25_0.4_078.slp |   4   | 130  |
| 25x25_0.4_079.slp |   4   | 123  |
| 25x25_0.4_080.slp |   5   | 128  |
| 25x25_0.4_081.slp |   4   | 131  |
| 25x25_0.4_082.slp |   4   | 135  |
| 25x25_0.4_083.slp |   5   | 131  |
| 25x25_0.4_084.slp |   4   | 135  |
| 25x25_0.4_085.slp |   4   | 140  |
| 25x25_0.4_086.slp |   4   | 131  |
| 25x25_0.4_087.slp |   4   | 128  |
| 25x25_0.4_088.slp |   4   | 142  |
| 25x25_0.4_089.slp |   4   | 138  |
| 25x25_0.4_090.slp |   4   | 131  |
| 25x25_0.4_091.slp |   4   | 129  |
| 25x25_0.4_092.slp |   4   | 124  |
| 25x25_0.4_093.slp |   5   | 140  |
| 25x25_0.4_094.slp |   4   | 126  |
| 25x25_0.4_095.slp |   4   | 136  |
| 25x25_0.4_096.slp |   4   | 138  |
| 25x25_0.4_097.slp |   4   | 121  |
| 25x25_0.4_098.slp |   4   | 129  |
| 25x25_0.4_099.slp |   4   | 142  |
+-------------------+-------+------+
