+-------------------+-------+------+
| slp name          | depth | size |
+-------------------+-------+------+
| 25x25_0.9_000.slp |   7   | 104  |
| 25x25_0.9_001.slp |   7   | 103  |
| 25x25_0.9_002.slp |   7   | 105  |
| 25x25_0.9_003.slp |   7   | 104  |
| 25x25_0.9_004.slp |   7   | 104  |
| 25x25_0.9_005.slp |   7   | 104  |
| 25x25_0.9_006.slp |   7   | 111  |
| 25x25_0.9_007.slp |   7   | 121  |
| 25x25_0.9_008.slp |   7   | 128  |
| 25x25_0.9_009.slp |   7   | 113  |
| 25x25_0.9_010.slp |   7   | 109  |
| 25x25_0.9_011.slp |   7   | 115  |
| 25x25_0.9_012.slp |   7   | 107  |
| 25x25_0.9_013.slp |   6   | 123  |
| 25x25_0.9_014.slp |   7   | 104  |
| 25x25_0.9_015.slp |   7   | 110  |
| 25x25_0.9_016.slp |   7   | 113  |
| 25x25_0.9_017.slp |   7   |  98  |
| 25x25_0.9_018.slp |   7   | 107  |
| 25x25_0.9_019.slp |   7   | 118  |
| 25x25_0.9_020.slp |   7   | 114  |
| 25x25_0.9_021.slp |   7   |  98  |
| 25x25_0.9_022.slp |   7   | 114  |
| 25x25_0.9_023.slp |   7   | 118  |
| 25x25_0.9_024.slp |   7   | 101  |
| 25x25_0.9_025.slp |   7   | 118  |
| 25x25_0.9_026.slp |   7   | 108  |
| 25x25_0.9_027.slp |   7   | 102  |
| 25x25_0.9_028.slp |   7   | 109  |
| 25x25_0.9_029.slp |   7   | 116  |
| 25x25_0.9_030.slp |   7   | 108  |
| 25x25_0.9_031.slp |   7   | 118  |
| 25x25_0.9_032.slp |   6   | 117  |
| 25x25_0.9_033.slp |   7   | 110  |
| 25x25_0.9_034.slp |   7   | 114  |
| 25x25_0.9_035.slp |   7   | 104  |
| 25x25_0.9_036.slp |   7   | 105  |
| 25x25_0.9_037.slp |   7   | 107  |
| 25x25_0.9_038.slp |   7   | 108  |
| 25x25_0.9_039.slp |   7   | 114  |
| 25x25_0.9_040.slp |   7   | 106  |
| 25x25_0.9_041.slp |   7   | 116  |
| 25x25_0.9_042.slp |   7   | 109  |
| 25x25_0.9_043.slp |   7   | 101  |
| 25x25_0.9_044.slp |   7   | 111  |
| 25x25_0.9_045.slp |   7   | 105  |
| 25x25_0.9_046.slp |   7   | 114  |
| 25x25_0.9_047.slp |   7   | 100  |
| 25x25_0.9_048.slp |   7   | 108  |
| 25x25_0.9_049.slp |   7   | 112  |
| 25x25_0.9_050.slp |   7   | 104  |
| 25x25_0.9_051.slp |   7   | 108  |
| 25x25_0.9_052.slp |   7   | 107  |
| 25x25_0.9_053.slp |   7   | 118  |
| 25x25_0.9_054.slp |   6   | 113  |
| 25x25_0.9_055.slp |   7   | 107  |
| 25x25_0.9_056.slp |   7   | 114  |
| 25x25_0.9_057.slp |   6   | 110  |
| 25x25_0.9_058.slp |   7   | 106  |
| 25x25_0.9_059.slp |   7   | 107  |
| 25x25_0.9_060.slp |   7   |  99  |
| 25x25_0.9_061.slp |   7   | 115  |
| 25x25_0.9_062.slp |   6   | 114  |
| 25x25_0.9_063.slp |   7   | 113  |
| 25x25_0.9_064.slp |   7   | 109  |
| 25x25_0.9_065.slp |   7   | 113  |
| 25x25_0.9_066.slp |   7   | 107  |
| 25x25_0.9_067.slp |   7   | 103  |
| 25x25_0.9_068.slp |   7   | 109  |
| 25x25_0.9_069.slp |   7   | 110  |
| 25x25_0.9_070.slp |   7   | 110  |
| 25x25_0.9_071.slp |   7   | 112  |
| 25x25_0.9_072.slp |   6   | 110  |
| 25x25_0.9_073.slp |   7   | 120  |
| 25x25_0.9_074.slp |   7   | 110  |
| 25x25_0.9_075.slp |   7   | 115  |
| 25x25_0.9_076.slp |   7   | 100  |
| 25x25_0.9_077.slp |   7   | 113  |
| 25x25_0.9_078.slp |   7   | 114  |
| 25x25_0.9_079.slp |   6   | 120  |
| 25x25_0.9_080.slp |   7   | 112  |
| 25x25_0.9_081.slp |   7   | 114  |
| 25x25_0.9_082.slp |   6   | 116  |
| 25x25_0.9_083.slp |   7   | 112  |
| 25x25_0.9_084.slp |   7   | 105  |
| 25x25_0.9_085.slp |   7   | 103  |
| 25x25_0.9_086.slp |   7   | 115  |
| 25x25_0.9_087.slp |   7   | 117  |
| 25x25_0.9_088.slp |   7   | 123  |
| 25x25_0.9_089.slp |   7   | 106  |
| 25x25_0.9_090.slp |   7   | 107  |
| 25x25_0.9_091.slp |   7   | 117  |
| 25x25_0.9_092.slp |   7   | 120  |
| 25x25_0.9_093.slp |   7   | 109  |
| 25x25_0.9_094.slp |   7   | 119  |
| 25x25_0.9_095.slp |   6   | 104  |
| 25x25_0.9_096.slp |   7   | 106  |
| 25x25_0.9_097.slp |   7   |  99  |
| 25x25_0.9_098.slp |   7   |  94  |
| 25x25_0.9_099.slp |   7   | 117  |
+-------------------+-------+------+
